threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
1,1,1,baseline,root_cached/1000/discard,100,301,291,311,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/discard,100,4107,4068,4138,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/discard,100,3957,3907,3997,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/discard,100,132739,132058,135875,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/discard,100,113834,113613,114405,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/discard,100,616498,611028,633500,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/discard,100,451709,448352,454794,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/1000/retain,100,320,311,331,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/retain,100,4668,4628,4709,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/retain,100,4117,4088,4138,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/retain,100,146936,145864,149250,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/retain,100,127720,126527,128602,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/retain,100,659900,653568,667394,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/retain,100,479190,477407,481855,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/32768/discard,100,761,742,782,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/discard,100,6372,6322,6432,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/discard,100,5781,5741,5831,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/discard,100,4164843,4152410,4182087,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,root_dirty/32768/3276/discard,100,3491639,3479817,3498542,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,update_root/32768/32768/discard,100,18995122,18945899,19038203,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_dirty/32768/32768/discard,100,13690728,13650032,13726114,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_cached/32768/retain,100,791,771,811,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/retain,100,6853,6822,6893,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/retain,100,6281,6232,6312,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/retain,100,4500724,4478623,4517405,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,root_dirty/32768/3276/retain,100,3841386,3823994,3867305,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,update_root/32768/32768/retain,100,19600819,19564090,19662756,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_dirty/32768/32768/retain,100,14141634,14120564,14164317,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_cached/1000/discard,100,40,40,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,2,candidate,update_root/1000/1/discard,100,4008,3988,4027,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,root_dirty/1000/1/discard,100,3707,3686,3757,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
