threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
1,root_cached/1000/discard,4,100,306.0,301.0,313.5,40.0,40.0,40.0,7.65,86.93
1,root_cached/1000/retain,4,100,326.0,320.75,363.5,40.0,37.75,40.0,8.15,87.73
1,root_cached/32768/discard,4,100,846.5,821.75,868.5,70.5,70.0,73.25,12.0071,91.67
1,root_cached/32768/retain,4,100,781.0,756.0,823.5,80.0,75.0,80.0,9.7625,89.76
1,root_dirty/1000/1/discard,4,100,3942.0,3922.0,3964.5,3722.0,3702.0,3742.0,1.0591,5.58
1,root_dirty/1000/1/retain,4,100,4217.5,4132.0,4300.5,4007.5,3985.25,4027.25,1.0524,4.98
1,root_dirty/1000/100/discard,4,100,114655.5,114157.25,115188.75,108258.5,108106.25,108348.25,1.0591,5.58
1,root_dirty/1000/100/retain,4,100,127264.0,126936.0,127441.75,120756.5,120323.25,121145.0,1.0539,5.11
1,root_dirty/1000/1000/discard,4,100,452990.5,451874.0,454738.5,429161.0,427918.5,430571.0,1.0555,5.26
1,root_dirty/1000/1000/retain,4,100,477902.5,476542.5,479540.75,453657.0,452312.0,454869.25,1.0534,5.07
1,root_dirty/32768/1/discard,4,100,5926.5,5848.5,5994.25,5841.0,5811.0,5846.0,1.0146,1.44
1,root_dirty/32768/1/retain,4,100,6427.0,6386.75,6447.0,6286.0,6208.75,6343.75,1.0224,2.19
1,root_dirty/32768/3276/discard,4,100,3489970.5,3487367.75,3496287.5,3386320.5,3382511.25,3390561.0,1.0306,2.97
1,root_dirty/32768/3276/retain,4,100,3803784.5,3793324.75,3819647.25,3689395.0,3681976.0,3701002.0,1.031,3.01
1,root_dirty/32768/32768/discard,4,100,13656112.0,13637118.75,13667328.0,13477651.0,13461222.75,13489796.25,1.0132,1.31
1,root_dirty/32768/32768/retain,4,100,14161486.0,14138169.75,14182520.25,13933648.0,13899954.5,13966737.75,1.0164,1.61
1,update_root/1000/1/discard,4,100,4112.0,4097.25,4129.5,4012.5,4002.75,4029.75,1.0248,2.42
1,update_root/1000/1/retain,4,100,4643.5,4616.25,4693.25,4368.0,4358.0,4395.5,1.0631,5.93
1,update_root/1000/100/discard,4,100,133791.5,133393.0,134109.75,125781.0,125615.75,125876.25,1.0637,5.99
1,update_root/1000/100/retain,4,100,146209.5,145480.5,147013.75,139442.5,139229.25,139785.5,1.0485,4.63
1,update_root/1000/1000/discard,4,100,627778.5,624297.25,629809.75,602141.0,601492.5,602351.25,1.0426,4.08
1,update_root/1000/1000/retain,4,100,658481.5,656715.75,659749.25,628029.5,627210.5,629136.75,1.0485,4.62
1,update_root/32768/1/discard,4,100,6412.0,6394.5,6449.75,6307.0,6277.0,6337.0,1.0166,1.64
1,update_root/32768/1/retain,4,100,7013.0,6965.5,7043.25,6793.0,6780.5,6810.5,1.0324,3.14
1,update_root/32768/3276/discard,4,100,4166351.0,4162333.25,4170263.5,4066298.0,4062571.25,4077579.25,1.0246,2.4
1,update_root/32768/3276/retain,4,100,4480045.5,4476749.25,4487033.5,4447479.5,4443532.0,4458652.75,1.0073,0.73
1,update_root/32768/32768/discard,4,100,18999875.0,18988130.5,19006779.5,18796001.5,18783919.5,18797851.75,1.0108,1.07
1,update_root/32768/32768/retain,4,100,19582694.5,19563973.25,19603403.5,19347943.0,19342960.5,19370671.25,1.0121,1.2
4,root_cached/1000/discard,4,100,325.5,320.75,330.25,60.0,57.75,60.0,5.425,81.57
4,root_cached/1000/retain,4,100,336.0,330.75,343.5,45.5,40.75,50.0,7.3846,86.46
4,root_cached/32768/discard,4,100,837.0,829.5,844.5,70.5,60.75,80.0,11.8723,91.58
4,root_cached/32768/retain,4,100,796.0,783.75,806.25,70.5,67.5,73.25,11.2908,91.14
4,root_dirty/1000/1/discard,4,100,3902.5,3874.5,3915.5,3757.0,3737.0,3792.0,1.0387,3.73
4,root_dirty/1000/1/retain,4,100,4208.0,4160.5,4255.5,4027.5,4000.5,4052.0,1.0448,4.29
4,root_dirty/1000/100/discard,4,100,59396.5,59028.25,59699.75,52153.0,51980.25,52290.75,1.1389,12.2
4,root_dirty/1000/100/retain,4,100,66815.5,66542.5,67153.75,60584.0,60328.5,60756.75,1.1029,9.33
4,root_dirty/1000/1000/discard,4,100,159359.0,159088.75,159561.75,134172.0,134069.25,134284.75,1.1877,15.81
4,root_dirty/1000/1000/retain,4,100,175124.0,174630.5,175615.25,151329.0,150933.5,151689.5,1.1572,13.59
4,root_dirty/32768/1/discard,4,100,5956.0,5933.5,5981.0,5841.0,5805.75,5861.0,1.0197,1.93
4,root_dirty/32768/1/retain,4,100,6517.5,6498.0,6522.0,6327.0,6276.75,6357.0,1.0301,2.92
4,root_dirty/32768/3276/discard,4,100,926795.5,923599.5,929277.75,876110.5,875101.0,876556.5,1.0579,5.47
4,root_dirty/32768/3276/retain,4,100,1062710.5,1058928.5,1065799.0,1007708.0,1006891.5,1008679.75,1.0546,5.18
4,root_dirty/32768/32768/discard,4,100,3523473.0,3518974.5,3529053.5,3402906.5,3401774.0,3404011.5,1.0354,3.42
4,root_dirty/32768/32768/retain,4,100,3738291.5,3735378.5,3745329.75,3611253.0,3610223.5,3612312.5,1.0352,3.4
4,update_root/1000/1/discard,4,100,4203.0,4195.5,4225.5,4092.5,4063.0,4122.25,1.027,2.63
4,update_root/1000/1/retain,4,100,4633.5,4575.75,4689.0,4443.5,4415.75,4461.25,1.0428,4.1
4,update_root/1000/100/discard,4,100,77255.0,77112.5,77355.0,69230.0,68897.0,69367.5,1.1159,10.39
4,update_root/1000/100/retain,4,100,85851.5,85821.0,86142.25,78868.5,78432.5,79116.5,1.0885,8.13
4,update_root/1000/1000/discard,4,100,294964.0,293121.0,296554.0,268940.0,268522.0,269278.0,1.0968,8.82
4,update_root/1000/1000/retain,4,100,313959.5,313127.75,314841.5,287405.0,285448.75,289338.75,1.0924,8.46
4,update_root/32768/1/discard,4,100,6402.0,6394.5,6417.0,6267.0,6259.25,6284.5,1.0215,2.11
4,update_root/32768/1/retain,4,100,6998.5,6963.0,7066.25,6768.0,6720.5,6805.5,1.0341,3.29
4,update_root/32768/3276/discard,4,100,1361106.5,1358820.0,1361612.25,1312195.0,1308427.75,1314614.75,1.0373,3.59
4,update_root/32768/3276/retain,4,100,1500473.5,1497608.0,1506750.25,1458840.0,1458184.0,1462644.5,1.0285,2.77
4,update_root/32768/32768/discard,4,100,7587982.0,7572107.0,7603648.75,7440470.0,7431861.0,7451726.75,1.0198,1.94
4,update_root/32768/32768/retain,4,100,7827166.5,7821939.5,7836128.25,7696566.0,7687952.75,7705019.25,1.017,1.67
