threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
1,1,1,baseline,reveal/1000/1,100,420,411,421,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,1,baseline,reveal/1000/100,100,45145,44814,45566,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,1,baseline,reveal/1000/1000,100,273744,272101,275097,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,1,baseline,reveal/32768/1,100,651,641,661,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,1,baseline,reveal/32768/3276,100,1599855,1591158,1631214,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,1,baseline,reveal/32768/32768,100,12077714,11947018,12121486,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,2,candidate,reveal/1000/1,100,451,441,461,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,2,candidate,reveal/1000/100,100,45165,44894,45455,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,2,candidate,reveal/1000/1000,100,312117,296116,320862,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,2,candidate,reveal/32768/1,100,611,601,621,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,2,candidate,reveal/32768/3276,100,1610414,1606838,1623879,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,2,candidate,reveal/32768/32768,100,9947363,9935260,9973612,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,3,candidate,reveal/1000/1,100,451,450,461,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,3,candidate,reveal/1000/100,100,46117,45887,46387,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,3,candidate,reveal/1000/1000,100,310543,295154,318599,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,3,candidate,reveal/32768/1,100,611,611,621,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,3,candidate,reveal/32768/3276,100,1604193,1602019,1609162,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,3,candidate,reveal/32768/32768,100,9906415,9896026,9950317,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,4,baseline,reveal/1000/1,100,421,411,431,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,4,baseline,reveal/1000/100,100,45886,45535,46447,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,4,baseline,reveal/1000/1000,100,281068,278353,283733,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,1,4,baseline,reveal/32768/1,100,651,641,662,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,4,baseline,reveal/32768/3276,100,1601407,1597651,1603692,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,1,4,baseline,reveal/32768/32768,100,12067774,12001080,12158775,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,1,baseline,reveal/1000/1,100,421,421,440,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,1,baseline,reveal/1000/100,100,46127,45766,46548,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,1,baseline,reveal/1000/1000,100,278593,276910,279886,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,1,baseline,reveal/32768/1,100,661,651,681,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,1,baseline,reveal/32768/3276,100,1604213,1599835,1615023,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,1,baseline,reveal/32768/32768,100,12028200,11908175,12082572,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,2,candidate,reveal/1000/1,100,461,451,471,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,2,candidate,reveal/1000/100,100,45926,45586,46196,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,2,candidate,reveal/1000/1000,100,314300,299182,323537,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,2,candidate,reveal/32768/1,100,621,611,632,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,2,candidate,reveal/32768/3276,100,1626104,1614432,1641122,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,2,candidate,reveal/32768/32768,100,9934627,9922324,9964674,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,3,candidate,reveal/1000/1,100,461,451,471,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,3,candidate,reveal/1000/100,100,45265,44874,45565,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,3,candidate,reveal/1000/1000,100,308440,294653,317867,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,3,candidate,reveal/32768/1,100,621,601,622,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,3,candidate,reveal/32768/3276,100,1627367,1620413,1637625,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,3,candidate,reveal/32768/32768,100,9928035,9902067,10218221,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,4,baseline,reveal/1000/1,100,421,411,421,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,4,baseline,reveal/1000/100,100,45145,44885,45666,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,4,baseline,reveal/1000/1000,100,277441,274556,282611,0x70e2927078db389aff1f53cd3ca5e10003c86cf98dc8902cc0aabe90509d9110
1,2,4,baseline,reveal/32768/1,100,661,651,672,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
1,2,4,baseline,reveal/32768/3276,100,1597200,1594525,1628698,0x8e6613b495829462e79f824bbbe37bb423b9d529499661d6bf5275e37b6c2bdc
