threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
1,reveal/1000/1,4,100,421.0,420.75,421.0,456.0,451.0,461.0,0.9232,-8.31
1,reveal/1000/100,4,100,45515.5,45145.0,45946.25,45595.5,45240.0,45973.75,0.9982,-0.18
1,reveal/1000/1000,4,100,278017.0,276516.75,279211.75,311330.0,310017.25,312662.75,0.893,-11.98
1,reveal/32768/1,4,100,656.0,651.0,661.0,616.0,611.0,621.0,1.0649,6.1
1,reveal/32768/3276,4,100,1600631.0,1599191.25,1602108.5,1618259.0,1608858.75,1626419.75,0.9891,-1.1
1,reveal/32768/32768,4,100,12047987.0,12009377.0,12070259.0,9931331.0,9922630.0,9937811.0,1.2131,17.57
15,reveal/1000/1,4,100,436.0,426.0,446.0,441.0,441.0,441.0,0.9887,-1.15
15,reveal/1000/100,4,100,48796.5,48358.0,49503.0,45425.5,45415.25,45661.25,1.0742,6.91
15,reveal/1000/1000,4,100,278087.5,276699.75,280068.75,312807.5,310946.25,316484.5,0.889,-12.49
15,reveal/32768/1,4,100,676.0,666.0,691.0,591.0,588.5,593.75,1.1438,12.57
15,reveal/32768/3276,4,100,3070601.5,3063941.25,3074419.0,3029865.0,3026586.25,3036109.25,1.0134,1.33
15,reveal/32768/32768,4,100,13153953.0,12410954.5,13898050.5,12159775.0,12141691.25,12181811.5,1.0818,7.56
