threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
1,1,1,baseline,root_cached/1000/discard,100,40,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/discard,100,4128,4097,4168,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/discard,100,3858,3837,3888,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/discard,100,158087,156944,159439,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/discard,100,137117,136056,138019,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/discard,100,350167,347962,355316,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/discard,100,189065,188704,189716,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/1000/retain,100,50,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/retain,100,4528,4478,4569,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/retain,100,4078,4048,4127,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/retain,100,111188,110748,111609,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/retain,100,94638,93876,95560,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/retain,100,382698,380985,385153,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/retain,100,211647,210564,212639,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/32768/discard,100,90,61,140,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/discard,100,8155,7885,8416,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/discard,100,6812,6602,7033,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/discard,100,3382944,3374329,3401099,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
