threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
1,root_cached/1000/discard,4,100,40.0,40.0,40.25,40.0,40.0,40.0,1.0,0.0
1,root_cached/1000/retain,4,100,40.0,37.75,42.5,40.0,40.0,40.0,1.0,0.0
1,root_cached/32768/discard,4,100,80.5,77.75,85.75,105.5,93.25,122.5,0.763,-31.06
1,root_cached/32768/retain,4,100,70.0,57.5,80.0,85.0,77.5,95.0,0.8235,-21.43
1,root_dirty/1000/1/discard,4,100,3842.5,3832.75,3849.5,3857.0,3837.0,3867.25,0.9962,-0.38
1,root_dirty/1000/1/retain,4,100,4107.5,4092.0,4130.25,4113.0,4088.0,4123.0,0.9987,-0.13
1,root_dirty/1000/100/discard,4,100,109585.5,82086.25,137092.25,81788.5,81470.5,95819.75,1.3399,25.37
1,root_dirty/1000/100/retain,4,100,93841.5,93720.75,93939.25,93585.0,93349.75,93743.0,1.0027,0.27
1,root_dirty/1000/1000/discard,4,100,187492.0,187151.0,188018.5,186630.0,186059.0,187196.25,1.0046,0.46
1,root_dirty/1000/1000/retain,4,100,210600.5,210322.25,210843.5,209824.0,209440.75,210029.25,1.0037,0.37
1,root_dirty/32768/1/discard,4,100,7619.5,7396.5,7852.5,6667.0,6517.0,6817.25,1.1429,12.5
1,root_dirty/32768/1/retain,4,100,8281.0,8241.0,8503.75,7494.5,7033.75,8105.25,1.1049,9.5
1,root_dirty/32768/3276/discard,4,100,2725780.5,2720382.75,2726850.5,2676558.0,2671937.25,2682413.75,1.0184,1.81
1,root_dirty/32768/3276/retain,4,100,3148704.0,3143579.5,3150119.0,3075607.0,3065465.25,3087562.0,1.0238,2.32
1,root_dirty/32768/32768/discard,4,100,9188619.5,9178921.75,9206032.0,8953128.0,8937618.75,8968792.5,1.0263,2.56
1,root_dirty/32768/32768/retain,4,100,10219664.5,9993693.0,10466398.0,9681885.5,9664275.5,9690824.25,1.0555,5.26
1,update_root/1000/1/discard,4,100,4102.0,4052.25,4149.5,4102.5,4077.75,4132.25,0.9999,-0.01
1,update_root/1000/1/retain,4,100,4398.5,4373.25,4428.75,4473.5,4398.75,4540.75,0.9832,-1.71
1,update_root/1000/100/discard,4,100,157706.0,156781.5,158558.0,97819.0,97613.75,112924.5,1.6122,37.97
1,update_root/1000/100/retain,4,100,110888.0,110850.5,111116.0,111203.5,110930.5,111489.0,0.9972,-0.28
1,update_root/1000/1000/discard,4,100,351565.0,350808.75,354087.0,346450.5,346124.75,413088.0,1.0148,1.45
1,update_root/1000/1000/retain,4,100,373911.5,373398.0,375727.5,377283.0,376083.0,377596.5,0.9911,-0.9
1,update_root/32768/1/discard,4,100,8325.5,7952.5,8806.25,7238.5,7153.0,7349.25,1.1502,13.06
1,update_root/32768/1/retain,4,100,9252.5,9067.0,9490.5,8891.5,8548.25,9222.25,1.0406,3.9
1,update_root/32768/3276/discard,4,100,3389601.5,3384293.75,3394761.5,3327370.0,3316682.5,3333949.75,1.0187,1.84
1,update_root/32768/3276/retain,4,100,3839997.0,3834000.75,3876748.25,3771012.0,3756605.0,3806396.0,1.0183,1.8
1,update_root/32768/32768/discard,4,100,15932737.0,15861167.75,16008548.75,15493342.0,15433409.75,15530213.25,1.0284,2.76
1,update_root/32768/32768/retain,4,100,16747751.5,16730902.75,16822804.75,16298428.0,16245648.25,16408953.5,1.0276,2.68
15,root_cached/1000/discard,4,100,50.5,50.0,53.25,40.0,40.0,40.0,1.2625,20.79
15,root_cached/1000/retain,4,100,40.0,40.0,42.5,40.0,40.0,40.0,1.0,0.0
15,root_cached/32768/discard,4,100,75.0,67.5,80.0,65.0,60.0,72.5,1.1538,13.33
15,root_cached/32768/retain,4,100,80.0,67.5,92.5,75.0,65.0,80.0,1.0667,6.25
15,root_dirty/1000/1/discard,4,100,3907.0,3897.0,3922.25,3827.0,3819.5,3829.5,1.0209,2.05
15,root_dirty/1000/1/retain,4,100,4112.5,4102.25,4128.0,4103.0,4073.0,4135.5,1.0023,0.23
15,root_dirty/1000/100/discard,4,100,67457.0,67329.25,67910.0,67712.0,66016.75,68646.0,0.9962,-0.38
15,root_dirty/1000/100/retain,4,100,81748.5,80784.5,82502.25,83691.5,83403.5,85034.25,0.9768,-2.38
15,root_dirty/1000/1000/discard,4,100,115993.0,112240.75,119759.75,119183.5,115894.75,122324.75,0.9732,-2.75
15,root_dirty/1000/1000/retain,4,100,153107.5,149623.25,157142.5,152827.0,150467.75,154970.75,1.0018,0.18
15,root_dirty/32768/1/discard,4,100,6537.5,6387.0,6868.25,6402.0,6239.25,6557.0,1.0212,2.07
15,root_dirty/32768/1/retain,4,100,7634.0,7050.25,8125.0,6928.0,6860.5,7010.75,1.1019,9.25
15,root_dirty/32768/3276/discard,4,100,340369.0,334235.5,343577.0,329208.0,325688.75,334498.0,1.0339,3.28
15,root_dirty/32768/3276/retain,4,100,550358.5,536712.75,564570.0,515843.0,514969.0,519477.25,1.0669,6.27
15,root_dirty/32768/32768/discard,4,100,889344.0,864109.25,943693.5,834426.5,817211.5,886233.5,1.0658,6.18
15,root_dirty/32768/32768/retain,4,100,1196004.5,1166779.75,1248999.0,1173131.5,1129211.5,1238504.5,1.0195,1.91
15,update_root/1000/1/discard,4,100,4168.0,4125.5,4223.0,4118.0,4115.5,4135.25,1.0121,1.2
15,update_root/1000/1/retain,4,100,4448.0,4425.5,4475.5,4478.0,4475.5,4478.0,0.9933,-0.67
15,update_root/1000/100/discard,4,100,82008.5,81675.25,82429.5,82730.5,82019.0,83599.75,0.9913,-0.88
15,update_root/1000/100/retain,4,100,95895.0,95464.25,96381.0,95770.0,95016.25,96804.5,1.0013,0.13
15,update_root/1000/1000/discard,4,100,264872.5,262450.25,266806.0,242175.0,219159.0,264339.0,1.0937,8.57
15,update_root/1000/1000/retain,4,100,291627.0,290152.0,293074.75,291096.5,290513.0,293235.25,1.0018,0.18
15,update_root/32768/1/discard,4,100,7489.0,7263.0,7893.0,6857.5,6654.75,7093.25,1.0921,8.43
15,update_root/32768/1/retain,4,100,8681.5,8092.5,9470.75,7589.0,7504.0,7839.5,1.144,12.58
15,update_root/32768/3276/discard,4,100,797627.0,795984.0,820487.5,766358.5,762366.25,771277.25,1.0408,3.92
15,update_root/32768/3276/retain,4,100,1010351.0,1001276.5,1014395.75,985364.5,977968.0,993717.5,1.0254,2.47
15,update_root/32768/32768/discard,4,100,5369622.0,5352201.75,5445659.75,5174490.5,5058753.5,5325739.25,1.0377,3.63
15,update_root/32768/32768/retain,4,100,5732873.5,5649812.25,5854782.5,5622927.0,5493930.25,5705101.0,1.0196,1.92
