run,metric,samples,first_sample_offset_ms,last_sample_gap_ms,sampled_peak_bytes,scrape_p50_bytes,scrape_p95_bytes,first_bytes,last_bytes
baseline-1,reth_process_resident_memory_bytes,133,47,8822,10983301120.0,8948817920.0,10745375948.8,5831823360.0,10982289408.0
baseline-1,reth_process_virtual_memory_bytes,133,47,8822,8825509859328.0,8824893177856.0,8825318985728.0,8809667080192.0,8825509859328.0
baseline-1,reth_process_virtual_memory_max_bytes,133,47,8822,0.0,0.0,0.0,0.0,0.0
baseline-1,reth_jemalloc_allocated,133,47,8822,4169374720.0,3918470336.0,4120026267.2,3594822056.0,4119987128.0
baseline-1,reth_jemalloc_active,133,47,8822,4274069504.0,4023971840.0,4226558361.6,3693989888.0,4224823296.0
baseline-1,reth_jemalloc_resident,133,47,8822,4548907008.0,4302237696.0,4505361612.8,3890651136.0,4516315136.0
baseline-1,reth_jemalloc_mapped,133,47,8822,4678033408.0,4432318464.0,4634809139.2,4014669824.0,4642160640.0
baseline-1,reth_jemalloc_metadata,133,47,8822,53913472.0,49694208.0,53681049.6,43170800.0,53913472.0
baseline-1,reth_jemalloc_retained,133,47,8822,2872369152.0,2456612864.0,2796465356.8,2277834752.0,2833137664.0
baseline-2,reth_process_resident_memory_bytes,134,47,8848,10968125440.0,8975060992.0,10741092352.0,5829324800.0,10968125440.0
baseline-2,reth_process_virtual_memory_bytes,134,47,8848,8825489412096.0,8824895029248.0,8825361243340.8,8809650302976.0,8825489412096.0
baseline-2,reth_process_virtual_memory_max_bytes,134,47,8848,0.0,0.0,0.0,0.0,0.0
baseline-2,reth_jemalloc_allocated,134,47,8848,4170048760.0,3913212476.0,4124664699.6,3595332656.0,4122131912.0
baseline-2,reth_jemalloc_active,134,47,8848,4275290112.0,4024686592.0,4229666201.6,3693752320.0,4227399680.0
baseline-2,reth_jemalloc_resident,134,47,8848,4551643136.0,4302526464.0,4508609126.4,3886440448.0,4483993600.0
baseline-2,reth_jemalloc_mapped,134,47,8848,4680790016.0,4432588800.0,4637967974.4,4010508288.0,4609916928.0
baseline-2,reth_jemalloc_metadata,134,47,8848,53855232.0,49636992.0,53598412.8,43130992.0,53855232.0
baseline-2,reth_jemalloc_retained,134,47,8848,2885541888.0,2443376640.0,2787901235.2,2265219072.0,2844934144.0
baseline-3,reth_process_resident_memory_bytes,134,47,8771,10999607296.0,8965181440.0,10758672998.4,5833531392.0,10999607296.0
baseline-3,reth_process_virtual_memory_bytes,134,47,8771,8825498849280.0,8824864620544.0,8825370785382.4,8809696440320.0,8825498849280.0
baseline-3,reth_process_virtual_memory_max_bytes,134,47,8771,0.0,0.0,0.0,0.0,0.0
baseline-3,reth_jemalloc_allocated,134,47,8771,4170467128.0,3913402628.0,4112387255.2,3587952184.0,4078016816.0
baseline-3,reth_jemalloc_active,134,47,8771,4273479680.0,4024776704.0,4223243673.6,3687665664.0,4203212800.0
baseline-3,reth_jemalloc_resident,134,47,8771,4550217728.0,4290906112.0,4497470873.6,3880185856.0,4495376384.0
baseline-3,reth_jemalloc_mapped,134,47,8771,4679430144.0,4419983360.0,4624549888.0,4013191168.0,4621180928.0
baseline-3,reth_jemalloc_metadata,134,47,8771,53969024.0,49644800.0,53685952.0,43196528.0,53969024.0
baseline-3,reth_jemalloc_retained,134,47,8771,2864738304.0,2436644864.0,2780386918.4,2308673536.0,2843107328.0
baseline-4,reth_process_resident_memory_bytes,133,45,8860,10980098048.0,8958234624.0,10732507136.0,5835886592.0,10980098048.0
baseline-4,reth_process_virtual_memory_bytes,133,45,8860,8825561763840.0,8824868012032.0,8825339104460.8,8809694343168.0,8825561763840.0
baseline-4,reth_process_virtual_memory_max_bytes,133,45,8860,0.0,0.0,0.0,0.0,0.0
baseline-4,reth_jemalloc_allocated,133,45,8860,4171651368.0,3913658952.0,4114741184.0,3592578872.0,4121408728.0
baseline-4,reth_jemalloc_active,133,45,8860,4276264960.0,4020994048.0,4223710003.2,3693060096.0,4226912256.0
baseline-4,reth_jemalloc_resident,133,45,8860,4525436928.0,4307771392.0,4496250470.4,3901992960.0,4514492416.0
baseline-4,reth_jemalloc_mapped,133,45,8860,4654628864.0,4437872640.0,4625272012.8,4026019840.0,4640288768.0
