name,baseline_ms_per_canonical_block,feature_ms_per_canonical_block,change_percent,ci_half_width_percent,diagnostic_verdict
reth_tree_root_sparse_trie_final_update_duration_histogram,0.3329808101966985,0.31109847179097166,-6.5717,2.9599,neutral
reth_tree_root_sparse_trie_process_updates_duration_histogram,8.658033602634722,8.263053235596141,-4.562,0.7573,neutral
reth_tree_root_sparse_trie_total_duration_histogram,22.92654982269424,22.99237204220622,0.2871,0.253,neutral
reth_tree_root_sparse_trie_reveal_multiproof_duration_histogram,4.518467106770425,4.520771685480081,0.051,1.2049,neutral
reth_tree_root_sparse_trie_channel_wait_duration_histogram,4.897316304379361,5.242966525603454,7.058,1.076,bad
reth_storage_providers_database_save_blocks_write_trie_updates,19.409064717971418,19.05011501186711,-1.8494,0.7508,neutral
reth_storage_providers_database_save_blocks_total,28.35538141568612,27.944875425126693,-1.4477,0.6157,neutral
reth_storage_providers_database_save_blocks_commit_mdbx,14.956123229986078,14.842905394291256,-0.757,1.3928,neutral
reth_storage_providers_database_save_blocks_write_hashed_state,8.270731827546658,8.214057263407673,-0.6852,0.9921,neutral
reth_storage_providers_database_save_blocks_write_state,0.6035892737610429,0.6123087377573084,1.4446,8.5752,neutral
reth_storage_providers_database_save_blocks_insert_block,0.033112489535966176,0.030744809063240276,-7.1504,8.5057,neutral
reth_storage_providers_database_save_blocks_update_history_indices,0.0003429817620515462,0.000353920373544948,3.1893,3.5862,neutral
reth_storage_providers_database_save_blocks_update_pipeline_stages,0.0031968227492468197,0.0031252161538605993,-2.2399,2.8694,neutral
