metrics,sample,durable_ns,write_ns,commit_ns,cursor_calls
on,1,58026077,13252790,44772895,20480
off,1,57243539,13080468,44162781,0
off,2,58129050,12966414,45162476,0
on,2,57120078,13548445,43571503,20480
on,3,57202452,13399757,43802365,20480
off,3,57426973,13122106,44304587,0
off,4,56366083,13154165,43211667,0
on,4,57716716,13472543,44243913,20480
on,5,56887271,13149376,43737664,20480
off,5,55805583,13051553,42753859,0
off,6,56904503,13071661,43832602,0
on,6,58008895,13474796,44533856,20480
on,7,58495747,13218567,45277010,20480
off,7,58383807,13057525,45326122,0
off,8,57653197,13025514,44627533,0
on,8,58329044,13476250,44852474,20480
on,9,54231891,13411558,40820033,20480
off,9,57116641,12992072,44124419,0
off,10,60038160,13120402,46917517,0
on,10,60156000,13602076,46553444,20480
on,11,60248594,13213647,47034636,20480
off,11,59936298,13069658,46866100,0
off,12,58145831,13280342,44865018,0
on,12,59576934,13562501,46014032,20480
on,13,58435774,13167581,45267893,20480
off,13,58531053,12970521,45560321,0
off,14,58783748,13073765,45709671,0
on,14,57967938,13304427,44663250,20480
on,15,58854780,13069487,45784983,20480
off,15,58446966,13172570,45274125,0
off,16,58161150,13010746,45150103,0
on,16,59168429,13479366,45688852,20480
on,17,58375672,13240287,45135105,20480
off,17,59070034,13001189,46068695,0
off,18,59105700,12981822,46123738,0
on,18,58673110,13582098,45090660,20480
on,19,59213223,13090756,46122205,20480
off,19,58794728,12991371,45803147,0
off,20,58304208,12854323,45449704,0
on,20,59545887,13379538,46166117,20480
on,21,58702985,13185114,45517671,20480
off,21,59376588,12977524,46398873,0
off,22,59201641,12945465,46255875,0
on,22,58587509,13417269,45170000,20480
on,23,59478129,13056072,46421817,20480
off,23,58525633,13025485,45499938,0
off,24,58755384,13113900,45641083,0
on,24,59572346,13622453,45949661,20480
on,25,58251819,13181026,45070523,20480
off,25,59148982,12983025,46165797,0
off,26,58929540,13036895,45892525,0
on,26,57908085,13493723,44413831,20480
on,27,58734104,13038529,45695365,20480
off,27,58871021,12986562,45884249,0
off,28,59417676,12972165,46445231,0
on,28,59574430,13447336,46126914,20480
on,29,58778197,13248723,45529364,20480
off,29,59645393,12962747,46682506,0
off,30,58768158,12978967,45788921,0
on,30,57592844,13437337,44155277,20480
on,31,58501568,13220120,45281298,20480
off,31,58099494,13040262,45059061,0
off,32,58438390,13017629,45420449,0
on,32,58692796,13579844,45112682,20480
on,33,57872458,13231230,44640938,20480
off,33,58731258,13002872,45728216,0
off,34,58005748,12958619,45046899,0
on,34,57234492,13478314,43756008,20480
on,35,57899098,13148004,44750854,20480
off,35,57598545,13060570,44537824,0
off,36,58904333,13232954,45671119,0
on,36,58262520,13509842,44752417,20480
on,37,57168237,13079545,44088502,20480
off,37,58333452,13017198,45316083,0
off,38,57741542,12989807,44751545,0
on,38,58123679,13466922,44656356,20480
on,39,57591000,13271526,44319234,20480
off,39,56724145,15229297,41494658,0
off,40,58498152,12999796,45498135,0
on,40,58061222,13472002,44589040,20480
