metrics,sample,durable_ns,write_ns,commit_ns,cursor_calls
on,1,40313312,13552212,26760830,20480
off,1,39501930,13209519,26292200,0
off,2,39882033,13151510,26730071,0
on,2,40175263,13687817,26487026,20480
on,3,39747500,13473253,26274067,20480
off,3,39743994,13271416,26472428,0
off,4,39591127,13364520,26226127,0
on,4,40214286,13563733,26650312,20480
on,5,40046532,13489134,26557207,20480
off,5,40024350,13308575,26715605,0
off,6,40225747,13529790,26695406,0
on,6,40404393,13636991,26767131,20480
on,7,40421174,13691533,26728929,20480
off,7,39923000,13298636,26624073,0
off,8,39881973,13300941,26580842,0
on,8,40265271,13541642,26723469,20480
on,9,40145237,13505885,26638900,20480
off,9,39940172,13278829,26661242,0
off,10,39546994,13136863,26409801,0
on,10,39716993,13562531,26154302,20480
on,11,40271714,13622103,26649401,20480
off,11,39819576,13201694,26617541,0
off,12,40147821,13281635,26865876,0
on,12,39614832,13468265,26146317,20480
on,13,40184470,13493531,26690568,20480
off,13,39951794,13285943,26665300,0
off,14,40109420,13230359,26878780,0
on,14,40490724,13562171,26927913,20480
on,15,40679889,13602796,27076922,20480
off,15,40124668,13271555,26852662,0
off,16,39895168,13305620,26588677,0
on,16,40017056,13623967,26392769,20480
on,17,39535012,13440983,26093307,20480
off,17,39658133,13189912,26467910,0
off,18,39623768,13236239,26387259,0
on,18,40822526,13671205,27150991,20480
on,19,40270872,13632532,26638130,20480
off,19,40196573,13168492,27027730,0
off,20,40208084,13204079,27003795,0
on,20,40694527,13611423,27082803,20480
on,21,40376380,13569745,26806274,20480
off,21,40071268,13154196,26916832,0
off,22,40142050,13174483,26967076,0
on,22,40844808,13729184,27115394,20480
on,23,40559683,13603718,26955795,20480
off,23,39711833,13339783,26371950,0
off,24,39953186,13391731,26561055,0
on,24,40354619,13585394,26768975,20480
on,25,40887328,13638924,27248163,20480
off,25,40131861,13228755,26902846,0
off,26,40042063,13216552,26825241,0
on,26,40327509,13548384,26778863,20480
on,27,40239022,13506576,26732075,20480
off,27,40145958,13253562,26892216,0
off,28,39996197,13172449,26823266,0
on,28,40469524,13677807,26791477,20480
on,29,40221660,13433219,26788181,20480
off,29,39677820,13132444,26545225,0
off,30,40141830,13182218,26959282,0
on,30,40256735,13636630,26619905,20480
on,31,40378624,13562421,26815963,20480
off,31,39759934,13339944,26419720,0
off,32,39680806,13077061,26603544,0
on,32,40545206,13570476,26974580,20480
on,33,40047603,13388575,26658447,20480
off,33,40121462,13179803,26941417,0
off,34,40818970,13606173,27212436,0
on,34,40038587,13603848,26434277,20480
on,35,40620307,13584332,27035685,20480
off,35,39591027,13148916,26441901,0
off,36,39846156,13265665,26580141,0
on,36,40716968,13644184,27072664,20480
on,37,40335403,13436835,26898247,20480
off,37,40363936,13278578,27085088,0
off,38,39896670,13169774,26726465,0
on,38,40756432,13615300,27140972,20480
on,39,40326907,13571939,26754658,20480
off,39,40307601,13149146,27157894,0
off,40,40236126,13375010,26860736,0
on,40,40768485,13690250,27078044,20480
