mode,round,position,case,mincore,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page
baseline,1,1,warm,1.0,59960484.5,13790836.0,46031419.0,141.0,0.0,9482.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,1,1,warm_open,1.0,58727435.5,12751210.0,45952706.5,141.0,0.0,8924.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,1,1,cold,1.0,169009131.5,124555794.0,44534520.0,141.0,8918.5,8924.0,8918.5,0.0,18432.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,1,2,warm,0.0,62922291.0,18138698.5,44675899.5,0.0,8924.0,9482.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,1,2,warm_open,0.0,62218901.0,17069147.0,45170979.0,0.0,8924.0,8924.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,1,2,cold,0.0,170700187.5,124352456.5,46252493.0,0.0,8924.0,8924.0,8918.5,0.0,18432.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,1,3,warm,0.0,64877072.5,18132882.5,46481207.0,0.0,8924.0,9482.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,1,3,warm_open,0.0,62245810.5,17154411.5,45027569.5,0.0,8924.0,8924.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,1,3,cold,0.0,169856563.5,124901169.5,44936092.5,0.0,8924.0,8924.0,8918.5,0.0,18432.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,1,4,warm,1.0,59192612.0,13793435.5,45217120.0,141.0,0.0,9482.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,1,4,warm_open,1.0,59555066.5,12812690.5,46693535.0,141.0,0.0,8924.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,1,4,cold,1.0,171297916.5,124619430.0,46525424.5,141.0,8918.5,8924.0,8918.5,0.0,18432.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,2,1,warm,1.0,58846586.5,13556625.5,45317778.5,141.0,0.0,9482.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,2,1,warm_open,1.0,57652110.5,12862724.0,44775200.0,141.0,0.0,8924.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,2,1,cold,1.0,169848791.0,124280663.5,45464067.5,141.0,8918.5,8924.0,8918.5,0.0,18432.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,2,2,warm,0.0,61436846.0,18019850.0,43401573.0,0.0,8924.0,9482.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,2,2,warm_open,0.0,59995918.0,17128221.5,42883606.0,0.0,8924.0,8924.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,2,2,cold,0.0,165700000.0,123685826.0,41994682.5,0.0,8924.0,8924.0,8918.5,0.0,18432.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,2,3,warm,0.0,60401563.5,18102580.0,42158335.0,0.0,8924.0,9482.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,2,3,warm_open,0.0,59041907.0,17184928.5,41737304.0,0.0,8924.0,8924.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
candidate,2,3,cold,0.0,167011344.5,123756803.0,43105436.5,0.0,8924.0,8924.0,8918.5,0.0,18432.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,2,4,warm,1.0,56150391.5,13679616.0,42620306.0,141.0,0.0,9482.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,2,4,warm_open,1.0,54763229.0,12892519.5,41899543.5,141.0,0.0,8924.0,0.0,-1.0,-1.0,10.0,8914.0,0.0,2.0,0.0,17848.0
baseline,2,4,cold,1.0,166231485.5,124101789.5,42026937.5,141.0,8918.5,8924.0,8918.5,0.0,18432.0,10.0,8914.0,0.0,2.0,0.0,17848.0
