case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page,mode,round,position
warm,1,1,59328017,13683014,45644713,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,2,60848900,14132106,46716354,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,3,60334536,14119372,46214883,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,4,59232578,13920008,45311848,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,5,60618649,13754638,46863510,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,6,60278371,13650613,46627498,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,7,59642598,13938233,45704085,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,8,59404771,13556586,45847955,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,9,60359463,13821544,46537608,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,10,59195128,13760128,45434639,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,11,58708414,13430670,45277474,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm,1,12,60699671,14137356,46561774,141,0,9482,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,1,59052691,12819393,46232987,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,2,59302470,12844330,46457889,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,3,58227653,12734784,45492628,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,4,58763628,12861963,45901395,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,5,58691243,12687135,46004018,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,6,57551534,12586587,44964827,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,7,59426202,12713154,46712787,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,8,58389987,12726930,45662616,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,9,57360516,12698777,44661418,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,10,59236897,12850581,46386154,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,11,58360212,12767636,45592265,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
warm_open,1,12,59955104,12906847,47047906,141,0,8924,0,-1,-1,10,8914,0,2,0,17848,baseline,1,1
cold,1,1,173503634,128816939,44686425,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,2,167894731,123689789,44204711,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,3,169927996,124913435,45014360,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,4,168024905,123223695,44800870,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,5,170816021,126091164,44724566,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,6,167285527,122902712,44382615,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,7,171814094,127490139,44323354,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,8,167312608,123788614,43523594,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,9,171841416,125046955,46794089,141,8922,8924,8915,4,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,10,176901179,132131608,44769190,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,11,168090267,124198153,43891754,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848,baseline,1,1
cold,1,12,167292300,123391418,43900210,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848,baseline,1,1
warm,0,1,63220891,18454245,44766284,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
warm,0,2,62905219,18146659,44757898,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
warm,0,3,63248904,19070793,44177490,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848,candidate,1,2
