case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page
warm,0,1,63220891,18454245,44766284,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,2,62905219,18146659,44757898,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,3,63248904,19070793,44177490,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,4,63189913,18409091,44780441,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,5,62939363,17927547,45011504,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,6,61575954,17985115,43590479,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,7,62266601,18022185,44243974,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,8,62860745,17914022,44946302,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,9,61790657,18130738,43659418,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,10,63064587,18470325,44593901,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,11,63914853,18640275,45274128,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm,0,12,62047810,18000154,44047206,0,8924,9482,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,1,60957364,17109041,43848012,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,2,61080445,17250638,43829627,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,3,61208585,16979418,44228906,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,4,62146145,17027067,45118846,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,5,62902885,16907334,45995300,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,6,62712036,17069909,45641917,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,7,62291657,17068385,45223112,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,8,62699343,16793018,45906134,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,9,55200753,17164887,38035696,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,10,59958870,17171740,42786920,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,11,64942241,17059849,47882141,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,0,12,65092923,17238474,47854048,0,8924,8924,0,-1,-1,10,8914,0,2,0,17848
cold,0,1,171217583,124966243,46251140,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,2,169563330,123308994,46253846,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,3,176194041,129434727,46758803,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,4,169345110,123115400,46229240,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,5,170182792,124019176,46163306,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,6,169279497,122981879,46297297,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,7,171313273,125396551,45916522,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,8,168591757,122713065,45877950,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,9,171537013,124685737,46850876,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,10,167773842,122035063,45738569,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
cold,0,11,171316078,124821721,46493936,0,8924,8924,8915,0,18432,10,8914,0,2,0,17848
cold,0,12,175767601,128875427,46891802,0,8924,8924,8922,0,18432,10,8914,0,2,0,17848
