case,mincore,sample,durable_ns,write_ns,commit_ns,mincore_calls,prefault_writes,minor_faults,major_faults,resident_pages_before,total_pages,new_pages,cow_pages,write_ops,msync_calls,fsync_calls,last_page
warm,1,1,57169596,13468310,43700985,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,2,58681313,13869914,44811179,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,3,58203346,13550134,44652941,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,4,59294473,14160339,45133843,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,5,59770015,13515158,46254567,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,6,59846228,13864544,45980903,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,7,59090751,13831412,45258948,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,8,58931111,13755459,45175292,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,9,57226563,14115214,43110988,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,10,61011034,14040204,46970460,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,11,61143332,13417104,47726057,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm,1,12,62039963,13491092,48548600,141,0,9482,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,1,59579377,12893522,46685605,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,2,59530756,12997006,46533459,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,3,59650902,12757015,46893646,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,4,59334538,12830534,46503754,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,5,60125753,12691994,47433508,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,6,59902173,12842536,47059477,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,7,60076580,12529458,47546992,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,8,59496612,12794847,46701465,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,9,59118593,12677246,46441127,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,10,60305159,12932415,47372274,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,11,59161132,12637461,46523431,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
warm_open,1,12,58901976,12868535,46033231,141,0,8924,0,-1,-1,10,8914,0,2,0,17848
cold,1,1,177646213,130291503,47354510,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,2,170344533,123364345,46979978,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,3,172031137,124870000,47160767,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,4,173185413,126568718,46616495,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,5,172235361,125725526,46509454,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,6,169580930,123058331,46522228,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,7,171900743,125180733,46719558,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,8,169151755,123188605,45962848,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,9,170490366,124368860,46121276,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,10,174395764,128256314,46139200,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
cold,1,11,170695090,124166269,46528621,141,8922,8924,8915,0,18432,10,8914,0,2,0,17848
cold,1,12,169557415,123161935,46395180,141,8915,8924,8922,0,18432,10,8914,0,2,0,17848
