case,field,runs_per_mode,baseline_median,baseline_p25,baseline_p75,candidate_median,candidate_p25,candidate_p75,candidate_change_percent
cold,durable_ns,4,169428961.25,168314720.0,170211072.375,168433954.0,166683508.375,170067469.5,-0.5872710560574257
cold,write_ns,4,124418228.75,124235945.0,124571703.0,124054629.75,123739058.75,124489634.75,-0.2922393315296201
cold,commit_ns,4,44999293.75,43907624.375,45729406.75,44020764.5,42827748.0,45265192.625,-2.1745435726977402
cold,mincore_calls,4,141.0,141.0,141.0,0.0,0.0,0.0,-100.0
cold,prefault_writes,4,8918.5,8918.5,8918.5,8924.0,8924.0,8924.0,0.061669563267363614
cold,minor_faults,4,8924.0,8924.0,8924.0,8924.0,8924.0,8924.0,0.0
cold,major_faults,4,8918.5,8918.5,8918.5,8918.5,8918.5,8918.5,0.0
cold,resident_pages_before,4,0.0,0.0,0.0,0.0,0.0,0.0,
cold,total_pages,4,18432.0,18432.0,18432.0,18432.0,18432.0,18432.0,0.0
cold,new_pages,4,10.0,10.0,10.0,10.0,10.0,10.0,0.0
cold,cow_pages,4,8914.0,8914.0,8914.0,8914.0,8914.0,8914.0,0.0
cold,write_ops,4,0.0,0.0,0.0,0.0,0.0,0.0,
cold,msync_calls,4,2.0,2.0,2.0,2.0,2.0,2.0,0.0
cold,fsync_calls,4,0.0,0.0,0.0,0.0,0.0,0.0,
cold,last_page,4,17848.0,17848.0,17848.0,17848.0,17848.0,17848.0,0.0
warm,durable_ns,4,59019599.25,58172537.75,59384580.125,62179568.5,61178025.375,63410986.375,5.354101502137865
warm,write_ns,4,13735226.0,13648868.375,13791485.875,18117731.25,18081897.5,18134336.5,31.907048708190167
warm,commit_ns,4,45267449.25,44567916.5,45496188.625,44038736.25,43090763.5,45127226.375,-2.7143411443709797
warm,mincore_calls,4,141.0,141.0,141.0,0.0,0.0,0.0,-100.0
warm,prefault_writes,4,0.0,0.0,0.0,8924.0,8924.0,8924.0,
warm,minor_faults,4,9482.0,9482.0,9482.0,9482.0,9482.0,9482.0,0.0
warm,major_faults,4,0.0,0.0,0.0,0.0,0.0,0.0,
warm,resident_pages_before,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
warm,total_pages,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
warm,new_pages,4,10.0,10.0,10.0,10.0,10.0,10.0,0.0
warm,cow_pages,4,8914.0,8914.0,8914.0,8914.0,8914.0,8914.0,0.0
warm,write_ops,4,0.0,0.0,0.0,0.0,0.0,0.0,
warm,msync_calls,4,2.0,2.0,2.0,2.0,2.0,2.0,0.0
warm,fsync_calls,4,0.0,0.0,0.0,0.0,0.0,0.0,
warm,last_page,4,17848.0,17848.0,17848.0,17848.0,17848.0,17848.0,0.0
warm_open,durable_ns,4,58189773.0,56929890.125,58934343.25,61107409.5,59757415.25,62225628.375,5.014002202758205
warm_open,write_ns,4,12837707.25,12797320.375,12870172.875,17141316.5,17113452.875,17162040.75,33.523192001437785
warm_open,commit_ns,4,45363953.25,44056285.875,46137913.625,43955587.75,42597030.5,45063421.875,-3.1045916396186257
warm_open,mincore_calls,4,141.0,141.0,141.0,0.0,0.0,0.0,-100.0
warm_open,prefault_writes,4,0.0,0.0,0.0,8924.0,8924.0,8924.0,
warm_open,minor_faults,4,8924.0,8924.0,8924.0,8924.0,8924.0,8924.0,0.0
warm_open,major_faults,4,0.0,0.0,0.0,0.0,0.0,0.0,
warm_open,resident_pages_before,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
warm_open,total_pages,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
warm_open,new_pages,4,10.0,10.0,10.0,10.0,10.0,10.0,0.0
warm_open,cow_pages,4,8914.0,8914.0,8914.0,8914.0,8914.0,8914.0,0.0
warm_open,write_ops,4,0.0,0.0,0.0,0.0,0.0,0.0,
warm_open,msync_calls,4,2.0,2.0,2.0,2.0,2.0,2.0,0.0
warm_open,fsync_calls,4,0.0,0.0,0.0,0.0,0.0,0.0,
warm_open,last_page,4,17848.0,17848.0,17848.0,17848.0,17848.0,17848.0,0.0
