threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
1,root_cached/1000/discard,4,100,346.0,341.0,363.5,40.0,40.0,40.0,8.65,88.44
1,root_cached/1000/retain,4,100,351.0,348.5,353.5,40.0,40.0,42.5,8.775,88.6
1,root_cached/32768/discard,4,100,751.0,721.0,813.75,80.0,77.5,82.5,9.3875,89.35
1,root_cached/32768/retain,4,100,701.5,686.0,719.25,70.0,57.75,80.0,10.0214,90.02
1,root_dirty/1000/1/discard,4,100,4162.0,4147.25,4167.25,3912.5,3907.75,3942.25,1.0638,5.99
1,root_dirty/1000/1/retain,4,100,4318.5,4295.5,4344.0,4177.5,4155.25,4207.25,1.0338,3.27
1,root_dirty/1000/100/discard,4,100,90529.5,90424.0,90625.0,80240.5,80020.0,80403.5,1.1282,11.37
1,root_dirty/1000/100/retain,4,100,99632.0,99382.0,99919.75,88150.5,87904.75,88351.0,1.1302,11.52
1,root_dirty/1000/1000/discard,4,100,230473.0,229929.25,231282.0,191700.0,191158.75,192298.5,1.2023,16.82
1,root_dirty/1000/1000/retain,4,100,249668.5,249290.25,250380.0,209067.0,208724.0,209184.75,1.1942,16.26
1,root_dirty/32768/1/discard,4,100,6212.0,6166.75,6239.25,6121.0,6068.75,6163.75,1.0149,1.46
1,root_dirty/32768/1/retain,4,100,6682.0,6649.5,7098.0,6502.5,6484.5,6517.75,1.0276,2.69
1,root_dirty/32768/3276/discard,4,100,2876482.0,2875207.0,2880847.5,2703903.0,2703136.75,2707096.25,1.0638,6.0
1,root_dirty/32768/3276/retain,4,100,3180893.0,3169133.75,3200364.5,3003941.0,2997706.5,3010558.5,1.0589,5.56
1,root_dirty/32768/32768/discard,4,100,9010695.5,9006410.5,9021970.75,8636968.5,8619826.25,8656377.5,1.0433,4.15
1,root_dirty/32768/32768/retain,4,100,9536946.5,9523614.75,9551133.0,9129969.5,9121622.75,9141508.75,1.0446,4.27
1,update_root/1000/1/discard,4,100,4318.0,4308.0,4335.5,4173.0,4158.0,4190.5,1.0347,3.36
1,update_root/1000/1/retain,4,100,4668.5,4635.75,4701.5,4538.5,4513.25,4571.5,1.0286,2.78
1,update_root/1000/100/discard,4,100,112747.0,112344.0,112949.5,100564.0,100493.75,100679.25,1.1211,10.81
1,update_root/1000/100/retain,4,100,122269.0,121643.0,122722.75,109961.0,109703.25,110168.75,1.1119,10.07
1,update_root/1000/1000/discard,4,100,455860.5,453701.25,457882.0,417132.0,415281.25,418942.75,1.0928,8.5
1,update_root/1000/1000/retain,4,100,481703.5,481455.25,482049.75,437941.5,437005.0,440110.5,1.0999,9.08
1,update_root/32768/1/discard,4,100,6627.5,6529.5,6720.5,6632.5,6598.0,6664.5,0.9992,-0.08
