threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
15,1,1,baseline,root_cached/32768/discard,200,80,70,81,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,1,baseline,root_cached/32768/retain,200,70,60,80,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,2,candidate,root_cached/32768/discard,200,110,70,150,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,2,candidate,root_cached/32768/retain,200,70,60,90,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,3,candidate,root_cached/32768/discard,200,90,80,111,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,3,candidate,root_cached/32768/retain,200,140,81,171,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,4,baseline,root_cached/32768/discard,200,110,70,160,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,1,4,baseline,root_cached/32768/retain,200,80,61,110,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,2,1,baseline,root_cached/32768/discard,200,110,80,150,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,2,1,baseline,root_cached/32768/retain,200,90,80,151,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,2,2,candidate,root_cached/32768/discard,200,91,80,120,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,2,2,candidate,root_cached/32768/retain,200,90,80,110,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,2,3,candidate,root_cached/32768/discard,200,71,60,111,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,2,3,candidate,root_cached/32768/retain,200,60,50,70,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,2,4,baseline,root_cached/32768/discard,200,70,60,120,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,2,4,baseline,root_cached/32768/retain,200,81,80,120,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,3,1,baseline,root_cached/32768/discard,200,80,60,80,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,3,1,baseline,root_cached/32768/retain,200,110,80,111,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,3,2,candidate,root_cached/32768/discard,200,90,80,120,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,3,2,candidate,root_cached/32768/retain,200,80,60,80,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,3,3,candidate,root_cached/32768/discard,200,120,71,150,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,3,3,candidate,root_cached/32768/retain,200,120,80,140,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,3,4,baseline,root_cached/32768/discard,200,71,60,80,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,3,4,baseline,root_cached/32768/retain,200,41,40,60,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,4,1,baseline,root_cached/32768/discard,200,100,90,150,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,4,1,baseline,root_cached/32768/retain,200,100,80,120,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,4,2,candidate,root_cached/32768/discard,200,110,90,130,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,4,2,candidate,root_cached/32768/retain,200,91,60,110,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,4,3,candidate,root_cached/32768/discard,200,70,60,100,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,4,3,candidate,root_cached/32768/retain,200,90,61,100,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,4,4,baseline,root_cached/32768/discard,200,100,90,111,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
15,4,4,baseline,root_cached/32768/retain,200,100,81,111,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
