threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
15,1,1,baseline,update_root/32768/1/retain,200,10290,10019,10560,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,1,baseline,root_dirty/32768/1/retain,200,8305,8075,8536,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,2,candidate,update_root/32768/1/retain,200,10289,9898,10820,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,2,candidate,root_dirty/32768/1/retain,200,8095,7894,8335,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,3,candidate,update_root/32768/1/retain,200,10560,10129,11051,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,3,candidate,root_dirty/32768/1/retain,200,7965,7775,8276,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,4,baseline,update_root/32768/1/retain,200,11712,10389,12373,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,1,4,baseline,root_dirty/32768/1/retain,200,8596,8295,8987,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,2,1,baseline,update_root/32768/1/retain,200,9719,9448,9999,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,2,1,baseline,root_dirty/32768/1/retain,200,7654,7454,7925,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,2,2,candidate,update_root/32768/1/retain,200,10038,9638,10680,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,2,2,candidate,root_dirty/32768/1/retain,200,8106,7895,8285,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,2,3,candidate,update_root/32768/1/retain,200,8896,8636,9107,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,2,3,candidate,root_dirty/32768/1/retain,200,7514,7274,7765,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,2,4,baseline,update_root/32768/1/retain,200,10119,9798,10479,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,2,4,baseline,root_dirty/32768/1/retain,200,7544,7374,7735,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,3,1,baseline,update_root/32768/1/retain,200,7774,7504,8045,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,3,1,baseline,root_dirty/32768/1/retain,200,7624,7444,7834,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,3,2,candidate,update_root/32768/1/retain,200,10780,10309,11281,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,3,2,candidate,root_dirty/32768/1/retain,200,8076,7865,8265,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,3,3,candidate,update_root/32768/1/retain,200,9107,8847,9398,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,3,3,candidate,root_dirty/32768/1/retain,200,7695,7464,7875,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,3,4,baseline,update_root/32768/1/retain,200,9688,8947,10149,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,3,4,baseline,root_dirty/32768/1/retain,200,7945,7824,8155,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,4,1,baseline,update_root/32768/1/retain,200,9698,9217,9989,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,4,1,baseline,root_dirty/32768/1/retain,200,8045,7794,8386,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,4,2,candidate,update_root/32768/1/retain,200,8667,8375,9398,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,4,2,candidate,root_dirty/32768/1/retain,200,8266,8025,8476,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,4,3,candidate,update_root/32768/1/retain,200,9157,8837,9357,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,4,3,candidate,root_dirty/32768/1/retain,200,7354,7203,7664,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,4,4,baseline,update_root/32768/1/retain,200,8365,8156,8706,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
15,4,4,baseline,root_dirty/32768/1/retain,200,8456,8206,8737,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
