threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
1,1,1,baseline,root_cached/1000/discard,100,40,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/discard,100,4228,4198,4268,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/discard,100,3967,3938,3997,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/discard,100,100609,100278,101039,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/discard,100,79990,79629,80481,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/discard,100,416030,414507,417093,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/discard,100,190688,190287,191529,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/1000/retain,100,40,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/retain,100,4609,4578,4649,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/retain,100,4208,4188,4238,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/retain,100,109957,109446,110607,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/retain,100,88216,87835,88586,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/retain,100,437110,435787,438582,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/retain,100,209393,208932,210154,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/32768/discard,100,70,61,71,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/discard,100,6502,6472,6572,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/discard,100,6041,6011,6071,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/discard,100,3623918,3622254,3625330,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,root_dirty/32768/3276/discard,100,2699234,2698021,2701587,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,update_root/32768/32768/discard,100,17238916,17231382,17365233,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_dirty/32768/32768/discard,100,8622744,8619037,8625990,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_cached/32768/retain,100,70,60,70,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/retain,100,7063,7003,7114,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/retain,100,6532,6492,6582,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/retain,100,3979815,3975737,3983692,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,root_dirty/32768/3276/retain,100,2997663,2994757,2999797,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,update_root/32768/32768/retain,100,17802533,17796982,17827710,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_dirty/32768/32768/retain,100,9130646,9126939,9135556,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_cached/1000/discard,100,50,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,2,candidate,update_root/1000/1/discard,100,4188,4148,4248,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,root_dirty/1000/1/discard,100,3937,3897,3987,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,update_root/1000/100/discard,100,95839,95329,96261,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,root_dirty/1000/100/discard,100,79600,79339,80060,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,update_root/1000/1000/discard,100,337533,336541,338936,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_dirty/1000/1000/discard,100,190197,189656,190908,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_cached/1000/retain,100,40,40,41,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,2,candidate,update_root/1000/1/retain,100,4569,4529,4599,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,root_dirty/1000/1/retain,100,4158,4128,4188,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,update_root/1000/100/retain,100,104686,104185,105387,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,root_dirty/1000/100/retain,100,88186,87855,88486,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,update_root/1000/1000/retain,100,364123,363071,365626,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_dirty/1000/1000/retain,100,207970,207379,208581,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_cached/32768/discard,100,70,60,71,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,2,candidate,update_root/32768/1/discard,100,6583,6542,6642,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,root_dirty/32768/1/discard,100,6231,6192,6272,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,update_root/32768/3276/discard,100,3317844,3304468,3321531,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,root_dirty/32768/3276/discard,100,2696067,2694814,2697550,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,update_root/32768/32768/discard,100,13638623,13405435,13646046,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_dirty/32768/32768/discard,100,8608838,8606213,8612234,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_cached/32768/retain,100,70,60,70,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,2,candidate,update_root/32768/1/retain,100,7153,7104,7194,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,root_dirty/32768/1/retain,100,6362,6331,6392,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,update_root/32768/3276/retain,100,3679031,3675725,3692125,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,root_dirty/32768/3276/retain,100,2995849,2994407,2997252,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,update_root/32768/32768/retain,100,14247985,14025568,14264256,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_dirty/32768/32768/retain,100,9110829,9108355,9113935,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,3,candidate,root_cached/1000/discard,100,40,40,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,3,candidate,update_root/1000/1/discard,100,4088,4058,4127,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,root_dirty/1000/1/discard,100,3887,3858,3918,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,update_root/1000/100/discard,100,94267,94016,94628,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,root_dirty/1000/100/discard,100,79278,79109,79459,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,3,candidate,update_root/1000/1000/discard,100,335680,334657,337202,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,3,candidate,root_dirty/1000/1000/discard,100,190758,190447,191319,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
