threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
1,root_cached/1000/discard,4,100,40.0,40.0,40.0,40.0,40.0,42.5,1.0,0.0
1,root_cached/1000/retain,4,100,40.0,40.0,40.25,40.0,40.0,40.0,1.0,0.0
1,root_cached/32768/discard,4,100,70.0,67.5,70.0,75.0,70.0,82.5,0.9333,-7.14
1,root_cached/32768/retain,4,100,60.0,60.0,62.5,80.0,77.5,80.0,0.75,-33.33
1,root_dirty/1000/1/discard,4,100,3937.0,3914.75,3952.0,3932.0,3917.0,3954.5,1.0013,0.13
1,root_dirty/1000/1/retain,4,100,4213.0,4185.25,4228.0,4168.0,4153.0,4183.0,1.0108,1.07
1,root_dirty/1000/100/discard,4,100,79859.5,79724.25,80092.75,79609.5,79519.5,79729.25,1.0031,0.31
1,root_dirty/1000/100/retain,4,100,87860.0,87694.75,88065.25,87830.0,87639.75,88057.75,1.0003,0.03
1,root_dirty/1000/1000/discard,4,100,190968.0,190860.5,191178.5,190607.5,190392.0,190850.75,1.0019,0.19
1,root_dirty/1000/1000/retain,4,100,207965.0,207448.5,208536.5,207995.0,207957.5,208090.0,0.9999,-0.01
1,root_dirty/32768/1/discard,4,100,6076.5,6056.75,6098.5,6116.5,6066.25,6171.75,0.9935,-0.66
1,root_dirty/32768/1/retain,4,100,6532.0,6514.5,6557.25,6532.0,6474.5,6554.75,1.0,0.0
1,root_dirty/32768/3276/discard,4,100,2708375.0,2700187.25,2717898.0,2704978.0,2702611.5,2706914.0,1.0013,0.13
1,root_dirty/32768/3276/retain,4,100,3014168.5,3004162.5,3031047.5,3004155.0,2995465.75,3013147.0,1.0033,0.33
1,root_dirty/32768/32768/discard,4,100,8648517.0,8629513.5,8665369.0,8609559.0,8609018.0,8610200.0,1.0045,0.45
1,root_dirty/32768/32768/retain,4,100,9147181.5,9142976.0,9150125.0,9130891.0,9121116.0,9145523.0,1.0018,0.18
1,update_root/1000/1/discard,4,100,4193.0,4153.0,4233.0,4168.0,4140.5,4180.5,1.006,0.6
1,update_root/1000/1/retain,4,100,4599.0,4573.75,4616.5,4564.0,4521.25,4571.5,1.0077,0.76
1,update_root/1000/100/discard,4,100,100363.0,100059.5,100636.25,95018.5,94687.75,95366.5,1.0562,5.33
1,update_root/1000/100/retain,4,100,109701.5,109320.5,110069.5,104441.0,104170.0,104626.75,1.0504,4.8
1,update_root/1000/1000/discard,4,100,415689.5,415041.0,416733.75,337863.5,337069.75,338369.25,1.2303,18.72
1,update_root/1000/1000/retain,4,100,437816.0,436649.25,439115.75,363286.5,361713.5,364361.0,1.2052,17.02
1,update_root/32768/1/discard,4,100,6527.0,6509.5,6547.0,6583.0,6580.25,6592.75,0.9915,-0.86
1,update_root/32768/1/retain,4,100,7078.5,7053.0,7098.75,7153.0,7130.75,7155.5,0.9896,-1.05
1,update_root/32768/3276/discard,4,100,3622249.5,3619469.0,3626102.0,3318635.0,3314212.25,3321607.75,1.0915,8.38
1,update_root/32768/3276/retain,4,100,3990956.0,3981024.75,4002034.5,3690442.0,3687108.5,3694001.0,1.0814,7.53
1,update_root/32768/32768/discard,4,100,17236355.5,17222385.75,17272571.5,13628238.0,13561930.5,13646878.0,1.2648,20.93
1,update_root/32768/32768/retain,4,100,17812625.5,17802104.25,17823186.75,14220843.5,14160996.75,14238523.75,1.2526,20.16
