repeat,case,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,optimized_median_ns,optimized_p25_ns,optimized_p75_ns,speedup,time_reduction_percent
1,legacy/unchanged,3263131,3256699,3378158,517015,509841,523837,6.31148225873524,84.15586134911531
1,packed/unchanged,2999134,2998162,2999885,507336,505964,510452,5.911533973540218,83.08391689067578
1,legacy/replace,3271567,3255697,3381775,2818993,2815157,2822872,1.1605445632536158,13.833554379292856
1,packed/replace,2999344,2998783,3000256,2998984,2998152,2999565,1.000120040653768,0.012002624573903553
1,legacy/resize,5481382,5400830,5525666,4963937,4961001,4967614,1.104240847536945,9.440046324083962
1,packed/resize,5091547,5089494,5093321,4653111,4529568,5067412,1.0942242727499947,8.611056718125154
1,legacy/mixed,2834974,2821378,3245127,2820296,2815006,2823282,1.0052044182596436,0.5177472527084892
1,packed/mixed,2999193,2998121,3000085,2559434,2436983,2561478,1.1718188474483031,14.662577566698776
1,legacy/sparse_replace,1187178,1175065,1210361,1191907,1176047,1219599,0.9960324085687894,-0.39833959187249857
1,packed/sparse_replace,1128346,1112717,1173622,1128437,1116815,1173793,0.9999193574829609,-0.008064902077897784
1,legacy/sparse_resize,2424670,1993227,2432696,2429469,1997254,2434378,0.998024671234743,-0.19792384118251238
1,packed/sparse_resize,2176232,2173477,2180069,2175951,2173046,2178746,1.0001291389374118,0.01291222626998989
1,legacy/append,2817290,2806409,2821729,2368694,2258016,2383562,1.1893853743877427,15.922961427471083
1,packed/append,2528095,2436662,2560986,1998757,1997445,2000140,1.2648335940787199,20.938216324940317
2,legacy/unchanged,3260665,3256267,3379950,536411,530971,546861,6.078669154808533,83.5490306425223
2,packed/unchanged,2999724,2998621,3005855,531732,530179,535860,5.641420866150617,82.27396920516688
2,legacy/replace,3353941,3257059,3382164,2819704,2816428,2823862,1.1894656318535564,15.928634403527075
2,packed/replace,2999163,2997870,3006436,2998791,2997650,3000194,1.0001240499921469,0.012403460565502122
2,legacy/resize,5510766,5400628,5525674,4963965,4960558,5392263,1.1101540804578598,9.922413689857269
2,packed/resize,5090804,5089541,5093309,5089953,4654121,5092507,1.0001671921135618,0.016716416503170795
2,legacy/mixed,3252008,2856172,3265013,2817400,2814383,2819984,1.1542585362390856,13.364296766797622
2,packed/mixed,2999372,2997959,3000254,2559975,2437383,2561598,1.1716411293079034,14.649633323242329
2,legacy/sparse_replace,1184662,1171708,1198339,1195232,1181426,1216373,0.9911565286069984,-0.8922376171431212
2,packed/sparse_replace,1115142,1098610,1158564,1123377,1103279,1171127,0.9926694244229676,-0.7384709749969076
2,legacy/sparse_resize,2415161,1993456,2432394,2427324,1993948,2433135,0.9949891320647759,-0.5036103183183149
2,packed/sparse_resize,2175159,2171623,2178846,2175520,2172584,2178235,0.999834062660881,-0.016596487888942413
2,legacy/append,2818261,2815616,2820986,2357833,2254719,2380846,1.195275916487724,16.337308716261557
2,packed/append,2437564,2435590,2557299,1999007,1998176,2006441,1.219387425856938,17.99160965619775
3,legacy/unchanged,3261496,3254743,3379659,528336,519599,544937,6.173147391054178,83.80080797278305
3,packed/unchanged,2999302,2997959,2999823,526242,525140,528636,5.699472866095826,82.4545177511301
3,legacy/replace,3377464,3255866,3382674,2817469,2813823,2821056,1.1987581762212822,16.580339568386226
3,packed/replace,2999332,2998369,3000123,2999141,2997949,3000133,1.0000636849017768,0.006368084626839909
3,legacy/resize,5517036,5399854,5527886,4963923,4961339,4966599,1.1114265873987168,10.025546325961987
3,packed/resize,5049023,5046418,5052610,4613392,4486373,5048602,1.094427484159161,8.62802565961771
3,legacy/mixed,2931093,2929490,3252588,2813090,2459754,2825063,1.0419478225012353,4.025904329886498
3,packed/mixed,2999541,2998931,2999892,2534105,2435989,2562268,1.1836687903618832,15.516907420168625
3,legacy/sparse_replace,1177970,1166107,1202566,1177839,1165316,1198027,1.00011122063372,0.011120826506616499
3,packed/sparse_replace,1121413,1099161,1166467,1127354,1105654,1174733,0.9947301380045664,-0.5297780567908417
3,legacy/sparse_resize,2016950,1996422,2432263,2412715,1995029,2429888,0.8359669500956391,-19.621953940355485
3,packed/sparse_resize,2175419,2172864,2178524,2176060,2173455,2180638,0.9997054309164269,-0.02946558800855925
3,legacy/append,2818961,2815254,2821946,2348695,2253967,2381627,1.2002243799216161,16.68224569265059
3,packed/append,2442502,2434467,2562748,1998866,1998025,2002713,1.2219438421585038,18.16317857672174
