case,mode,samples,median_ns,p25_ns,p75_ns
legacy/unchanged,baseline,100,3263131,3256699,3378158
legacy/unchanged,optimized,100,517015,509841,523837
packed/unchanged,baseline,100,2999134,2998162,2999885
packed/unchanged,optimized,100,507336,505964,510452
legacy/replace,baseline,100,3271567,3255697,3381775
legacy/replace,optimized,100,2818993,2815157,2822872
packed/replace,baseline,100,2999344,2998783,3000256
packed/replace,optimized,100,2998984,2998152,2999565
legacy/resize,baseline,100,5481382,5400830,5525666
legacy/resize,optimized,100,4963937,4961001,4967614
packed/resize,baseline,100,5091547,5089494,5093321
packed/resize,optimized,100,4653111,4529568,5067412
legacy/mixed,baseline,100,2834974,2821378,3245127
legacy/mixed,optimized,100,2820296,2815006,2823282
packed/mixed,baseline,100,2999193,2998121,3000085
packed/mixed,optimized,100,2559434,2436983,2561478
legacy/sparse_replace,baseline,100,1187178,1175065,1210361
legacy/sparse_replace,optimized,100,1191907,1176047,1219599
packed/sparse_replace,baseline,100,1128346,1112717,1173622
packed/sparse_replace,optimized,100,1128437,1116815,1173793
legacy/sparse_resize,baseline,100,2424670,1993227,2432696
legacy/sparse_resize,optimized,100,2429469,1997254,2434378
packed/sparse_resize,baseline,100,2176232,2173477,2180069
packed/sparse_resize,optimized,100,2175951,2173046,2178746
legacy/append,baseline,100,2817290,2806409,2821729
legacy/append,optimized,100,2368694,2258016,2383562
packed/append,baseline,100,2528095,2436662,2560986
packed/append,optimized,100,1998757,1997445,2000140
