case,baseline_median_of_medians_ns,optimized_median_of_medians_ns,speedup,time_reduction_percent,minimum_repeat_speedup,maximum_repeat_speedup
legacy/unchanged,3261496,528336,6.173147391054178,83.80080797278305,6.078669154808533,6.31148225873524
packed/unchanged,2999302,526242,5.699472866095826,82.4545177511301,5.641420866150617,5.911533973540218
legacy/replace,3353941,2818993,1.1897656361686602,15.949833345309294,1.1605445632536158,1.1987581762212822
packed/replace,2999332,2998984,1.0001160392986426,0.011602583508596442,1.0000636849017768,1.0001240499921469
legacy/resize,5510766,4963937,1.110160342486216,9.922921786190885,1.104240847536945,1.1114265873987168
packed/resize,5090804,4653111,1.0940645946335688,8.59771855290441,1.0001671921135618,1.094427484159161
legacy/mixed,2931093,2817400,1.0403538723645915,3.878860206755641,1.0052044182596436,1.1542585362390856
packed/mixed,2999372,2559434,1.1718887847860113,14.667670432343838,1.1716411293079034,1.1836687903618832
legacy/sparse_replace,1184662,1191907,0.9939215056208245,-0.6115668435384913,0.9911565286069984,1.00011122063372
packed/sparse_replace,1121413,1127354,0.9947301380045664,-0.5297780567908417,0.9926694244229676,0.9999193574829609
legacy/sparse_resize,2415161,2427324,0.9949891320647759,-0.5036103183183149,0.8359669500956391,0.998024671234743
packed/sparse_resize,2175419,2175951,0.9997555092003451,-0.024455059002437274,0.9997054309164269,1.0001291389374118
legacy/append,2818261,2357833,1.195275916487724,16.337308716261557,1.1893853743877427,1.2002243799216161
packed/append,2442502,1998866,1.2219438421585038,18.16317857672174,1.219387425856938,1.2648335940787199
