threads,round,position,mode,case,samples,median_ns,p25_ns,p75_ns,root
1,1,1,baseline,root_cached/1000/discard,100,310,301,320,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/discard,100,4769,4709,4819,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/discard,100,4508,4469,4539,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/discard,100,147918,146956,149791,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/discard,100,129884,129364,131346,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/discard,100,707539,704032,715865,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/discard,100,533012,531098,537841,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/1000/retain,100,421,401,431,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,1,baseline,update_root/1000/1/retain,100,5210,5180,5240,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,root_dirty/1000/1/retain,100,4829,4799,4849,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,1,baseline,update_root/1000/100/retain,100,161474,160722,162796,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,root_dirty/1000/100/retain,100,143660,142979,145183,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,1,baseline,update_root/1000/1000/retain,100,746632,739229,755229,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_dirty/1000/1000/retain,100,560613,557197,563669,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,1,baseline,root_cached/32768/discard,100,781,751,821,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/discard,100,7053,7003,7084,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/discard,100,6533,6512,6563,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/discard,100,4639277,4622445,4657541,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,root_dirty/32768/3276/discard,100,3988253,3973847,4010486,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,update_root/32768/32768/discard,100,21371395,21356167,21405769,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_dirty/32768/32768/discard,100,16028406,16008078,16072809,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_cached/32768/retain,100,762,742,802,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,1,baseline,update_root/32768/1/retain,100,7704,7664,7764,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,root_dirty/32768/1/retain,100,7434,7364,7514,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,1,baseline,update_root/32768/3276/retain,100,5078482,5054126,5102597,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,root_dirty/32768/3276/retain,100,4369610,4351927,4383385,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,1,baseline,update_root/32768/32768/retain,100,22145299,22101025,22180154,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,1,baseline,root_dirty/32768/32768/retain,100,16702101,16684619,16719013,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_cached/1000/discard,100,40,40,41,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,2,candidate,update_root/1000/1/discard,100,4598,4569,4619,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,root_dirty/1000/1/discard,100,4278,4248,4308,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,update_root/1000/100/discard,100,138541,138089,140174,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,root_dirty/1000/100/discard,100,121388,121037,122250,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,update_root/1000/1000/discard,100,671402,667424,678435,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_dirty/1000/1000/discard,100,498015,497054,499559,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_cached/1000/retain,100,41,40,50,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,2,candidate,update_root/1000/1/retain,100,5190,5160,5229,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,root_dirty/1000/1/retain,100,4578,4539,4609,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,2,candidate,update_root/1000/100/retain,100,152988,152396,154129,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,root_dirty/1000/100/retain,100,133971,133551,134983,0xe894efc8df68020926f7c9dcce96f85dd4278ad4212637a55d54a7ee7a76a90f
1,1,2,candidate,update_root/1000/1000/retain,100,699734,695116,707108,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_dirty/1000/1000/retain,100,522552,521360,525147,0x3529a08afc217f6980d8fdd5321858a165c307eed79002b8be42ac2fa4f22f49
1,1,2,candidate,root_cached/32768/discard,100,60,60,70,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,2,candidate,update_root/32768/1/discard,100,6873,6833,6923,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,root_dirty/32768/1/discard,100,6382,6362,6422,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,update_root/32768/3276/discard,100,4529200,4510445,4548266,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,root_dirty/32768/3276/discard,100,3836939,3826289,3850765,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,update_root/32768/32768/discard,100,21101096,21059227,21145660,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_dirty/32768/32768/discard,100,15710437,15666966,15754791,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_cached/32768/retain,100,41,40,60,0xe172a63c8188e6142adb04613583a4d5776267baf242a3e38aa14797748dcdf0
1,1,2,candidate,update_root/32768/1/retain,100,7404,7354,7474,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,root_dirty/32768/1/retain,100,6883,6852,6923,0x176e14209b95e42bd93c00e5dadf033f1dea71e5d1bd80ec2eca838d8c5a3161
1,1,2,candidate,update_root/32768/3276/retain,100,4907160,4895989,4919443,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,root_dirty/32768/3276/retain,100,4217905,4188900,4232422,0x9fcd4b39c6ba394f686f707e059315f7334efb3ce5c98f686c95a4ebe44b2c7a
1,1,2,candidate,update_root/32768/32768/retain,100,21692757,21670326,21721571,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,2,candidate,root_dirty/32768/32768/retain,100,16218823,16182204,16273816,0x69c3ea375e3c1002e38169138db418038258db4e15f9f29bdcc885300ec1118f
1,1,3,candidate,root_cached/1000/discard,100,40,30,40,0xbd6aeac4d455ae51705d662d7955c19c3ec9f70af408b3066a5b9983cf854e31
1,1,3,candidate,update_root/1000/1/discard,100,4569,4539,4599,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
1,1,3,candidate,root_dirty/1000/1/discard,100,4188,4158,4228,0xb7d43ed328055da23bd152db88927f518330b8135b3a5d8b75e693431607bea4
