threads,case,runs_per_mode,samples_per_run,baseline_median_ns,baseline_p25_ns,baseline_p75_ns,candidate_median_ns,candidate_p25_ns,candidate_p75_ns,speedup,reduction_percent
1,root_cached/1000/discard,4,100,305.5,298.5,310.25,40.0,40.0,40.0,7.6375,86.91
1,root_cached/1000/retain,4,100,371.0,318.25,421.0,40.0,40.0,40.25,9.275,89.22
1,root_cached/32768/discard,4,100,771.5,736.75,803.75,60.5,60.0,65.75,12.7521,92.16
1,root_cached/32768/retain,4,100,811.0,783.75,846.25,70.5,62.75,73.25,11.5035,91.31
1,root_dirty/1000/1/discard,4,100,4488.5,4461.25,4520.75,4263.0,4233.0,4278.0,1.0529,5.02
1,root_dirty/1000/1/retain,4,100,4884.0,4866.5,4894.0,4598.5,4560.5,4639.0,1.0621,5.85
1,root_dirty/1000/100/discard,4,100,130309.5,129828.75,130770.25,122305.0,121943.75,122911.75,1.0654,6.14
1,root_dirty/1000/100/retain,4,100,143454.5,143211.5,143637.5,134472.5,134346.75,135803.0,1.0668,6.26
1,root_dirty/1000/1000/discard,4,100,531819.0,531559.0,532267.25,500485.0,499194.75,503315.75,1.0626,5.89
1,root_dirty/1000/1000/retain,4,100,558850.5,558226.75,559456.5,524806.0,524182.5,526571.75,1.0649,6.09
1,root_dirty/32768/1/discard,4,100,6647.5,6563.0,6742.25,6437.0,6419.5,6452.0,1.0327,3.17
1,root_dirty/32768/1/retain,4,100,7419.0,7384.0,7456.5,6913.0,6898.0,6925.5,1.0732,6.82
1,root_dirty/32768/3276/discard,4,100,3976681.0,3973783.0,3980002.25,3825998.0,3824016.75,3829357.25,1.0394,3.79
1,root_dirty/32768/3276/retain,4,100,4379027.0,4369797.5,4404427.0,4155988.0,4147986.0,4176531.25,1.0537,5.09
1,root_dirty/32768/32768/discard,4,100,16037310.0,16034091.0,16043853.5,15696965.5,15684750.5,15704552.5,1.0217,2.12
1,root_dirty/32768/32768/retain,4,100,16739194.0,16716722.25,16766101.5,16210450.5,16200537.75,16232265.5,1.0326,3.16
1,update_root/1000/1/discard,4,100,4724.0,4714.0,4739.0,4593.5,4584.0,4600.5,1.0284,2.76
1,update_root/1000/1/retain,4,100,5185.0,5137.5,5242.5,5054.5,4971.5,5145.0,1.0258,2.52
1,update_root/1000/100/discard,4,100,147817.5,147697.0,147988.0,138731.0,138405.5,139852.75,1.0655,6.15
1,update_root/1000/100/retain,4,100,161614.0,161441.25,161799.0,153198.0,152832.75,155289.0,1.0549,5.21
1,update_root/1000/1000/discard,4,100,705630.5,703428.75,708816.5,672964.5,671381.75,676478.0,1.0485,4.63
1,update_root/1000/1000/retain,4,100,733503.0,732042.25,737345.5,702981.0,701342.75,708776.75,1.0434,4.16
1,update_root/32768/1/discard,4,100,7108.0,7083.0,7135.75,6953.0,6925.5,6998.0,1.0223,2.18
1,update_root/32768/1/retain,4,100,7934.5,7801.5,8037.5,7524.0,7494.0,7529.25,1.0546,5.17
1,update_root/32768/3276/discard,4,100,4642327.5,4639299.5,4645470.5,4515808.5,4508262.0,4521406.75,1.028,2.73
1,update_root/32768/3276/retain,4,100,5064660.5,5045762.0,5086850.0,4913391.5,4906270.75,4925068.0,1.0308,2.99
1,update_root/32768/32768/discard,4,100,21370205.0,21365636.75,21373854.0,21067400.5,21034604.5,21098839.25,1.0144,1.42
1,update_root/32768/32768/retain,4,100,22148231.5,22143046.25,22158613.75,21679405.0,21663749.0,21701280.25,1.0216,2.12
4,root_cached/1000/discard,4,100,321.0,311.0,333.5,55.0,50.0,60.0,5.8364,82.87
4,root_cached/1000/retain,4,100,380.5,325.25,435.75,40.0,40.0,40.0,9.5125,89.49
4,root_cached/32768/discard,4,100,726.0,686.0,786.25,75.0,67.75,80.0,9.68,89.67
4,root_cached/32768/retain,4,100,807.0,764.5,834.5,70.5,60.75,80.0,11.4468,91.26
4,root_dirty/1000/1/discard,4,100,4433.0,4400.5,4463.0,4232.5,4220.5,4249.75,1.0474,4.52
4,root_dirty/1000/1/retain,4,100,4844.0,4816.5,4859.25,4604.0,4573.75,4626.5,1.0521,4.95
4,root_dirty/1000/100/discard,4,100,65869.0,65828.75,72035.5,57693.5,57563.0,57919.0,1.1417,12.41
4,root_dirty/1000/100/retain,4,100,74735.5,74292.25,76040.25,66730.0,66465.0,67265.75,1.12,10.71
4,root_dirty/1000/1000/discard,4,100,182242.0,181385.25,184028.25,154245.0,154009.75,154477.5,1.1815,15.36
4,root_dirty/1000/1000/retain,4,100,197170.5,196724.75,197561.25,171127.0,170924.0,171264.5,1.1522,13.21
4,root_dirty/32768/1/discard,4,100,6598.0,6565.5,6617.75,6432.0,6422.0,6454.5,1.0258,2.52
4,root_dirty/32768/1/retain,4,100,7358.5,7293.25,7404.0,7048.5,7016.25,7088.0,1.044,4.21
4,root_dirty/32768/3276/discard,4,100,1055267.5,1053850.0,1057388.75,987680.0,986137.5,989192.75,1.0684,6.4
4,root_dirty/32768/3276/retain,4,100,1211170.5,1210461.5,1211571.5,1132047.0,1128721.0,1135147.25,1.0699,6.53
4,root_dirty/32768/32768/discard,4,100,4152601.0,4146036.0,4162179.25,3971496.5,3966967.5,3977710.75,1.0456,4.36
4,root_dirty/32768/32768/retain,4,100,4395732.0,4390878.0,4397097.25,4189164.0,4182016.0,4202569.0,1.0493,4.7
4,update_root/1000/1/discard,4,100,4799.0,4794.0,4801.5,4639.0,4596.5,4681.5,1.0345,3.33
4,update_root/1000/1/retain,4,100,5330.0,5240.0,5390.0,5095.0,5077.25,5112.25,1.0461,4.41
4,update_root/1000/100/discard,4,100,83832.0,83634.25,85770.75,74425.0,74392.25,74662.75,1.1264,11.22
4,update_root/1000/100/retain,4,100,93470.5,92957.0,95584.5,85039.5,84896.5,85260.25,1.0991,9.02
4,update_root/1000/1000/discard,4,100,315908.0,314871.25,323244.25,289409.0,288392.0,290207.75,1.0916,8.39
4,update_root/1000/1000/retain,4,100,335780.5,334253.25,335900.25,309130.5,307542.75,310002.25,1.0862,7.94
4,update_root/32768/1/discard,4,100,7143.5,7105.5,7184.0,6977.5,6892.0,7068.0,1.0238,2.32
4,update_root/32768/1/retain,4,100,7910.0,7870.0,7982.5,7559.0,7549.0,7586.75,1.0464,4.44
4,update_root/32768/3276/discard,4,100,1489678.5,1486950.75,1492291.0,1424901.5,1420385.75,1428911.5,1.0455,4.35
4,update_root/32768/3276/retain,4,100,1645046.0,1644575.0,1645872.5,1586170.0,1583915.75,1589944.5,1.0371,3.58
4,update_root/32768/32768/discard,4,100,8200841.0,8193021.5,8211864.0,8059295.0,8053802.25,8067688.0,1.0176,1.73
4,update_root/32768/32768/retain,4,100,8483006.0,8464939.5,8499832.5,8306965.5,8304263.0,8322234.0,1.0212,2.08
