case,prefault,sample,durable_ns,mincore_calls,prefault_writes,major_faults,resident_pages_before,total_pages
fresh,shadow,1,918395,0,0,0,-1,-1
fresh,off,1,949142,0,0,138,-1,-1
fresh,on,1,965733,0,0,138,-1,-1
fresh,off,2,1081990,0,0,138,-1,-1
fresh,on,2,1102709,0,0,138,-1,-1
fresh,shadow,2,1124580,0,0,0,-1,-1
fresh,on,3,1120452,0,0,138,-1,-1
fresh,shadow,3,996210,0,0,0,-1,-1
fresh,off,3,979799,0,0,138,-1,-1
fresh,shadow,4,911662,0,0,0,-1,-1
fresh,off,4,961445,0,0,138,-1,-1
fresh,on,4,956656,0,0,138,-1,-1
fresh,off,5,1078654,0,0,138,-1,-1
fresh,on,5,1189040,0,0,138,-1,-1
fresh,shadow,5,1136572,0,0,0,-1,-1
fresh,on,6,1146631,0,0,138,-1,-1
fresh,shadow,6,1028300,0,0,0,-1,-1
fresh,off,6,1011549,0,0,138,-1,-1
fresh,shadow,7,910300,0,0,0,-1,-1
fresh,off,7,960383,0,0,138,-1,-1
fresh,on,7,963749,0,0,138,-1,-1
fresh,off,8,1053687,0,0,138,-1,-1
fresh,on,8,1150187,0,0,138,-1,-1
fresh,shadow,8,1149816,0,0,0,-1,-1
fresh,on,9,1147603,0,0,138,-1,-1
fresh,shadow,9,1037797,0,0,0,-1,-1
fresh,off,9,1015446,0,0,138,-1,-1
fresh,shadow,10,936448,0,0,0,-1,-1
fresh,off,10,974720,0,0,138,-1,-1
fresh,on,10,964421,0,0,138,-1,-1
fresh,off,11,1015576,0,0,138,-1,-1
fresh,on,11,1110022,0,0,138,-1,-1
fresh,shadow,11,1156269,0,0,0,-1,-1
fresh,on,12,1158402,0,0,138,-1,-1
fresh,shadow,12,1054749,0,0,0,-1,-1
fresh,off,12,1051533,0,0,138,-1,-1
warm,shadow,1,55193141,0,0,0,-1,-1
warm,off,1,57712425,0,0,0,-1,-1
warm,on,1,56498378,141,0,0,-1,-1
warm,off,2,57043856,0,0,0,-1,-1
warm,on,2,57908340,141,0,0,-1,-1
warm,shadow,2,56082030,0,0,0,-1,-1
warm,on,3,56683074,141,0,0,-1,-1
warm,shadow,3,56731024,0,0,0,-1,-1
warm,off,3,58262943,0,0,0,-1,-1
warm,shadow,4,55179055,0,0,0,-1,-1
warm,off,4,57251444,0,0,0,-1,-1
warm,on,4,58384991,141,0,0,-1,-1
warm,off,5,56231009,0,0,0,-1,-1
warm,on,5,58064643,141,0,0,-1,-1
warm,shadow,5,56935825,0,0,0,-1,-1
warm,on,6,57052574,141,0,0,-1,-1
warm,shadow,6,55933013,0,0,0,-1,-1
warm,off,6,58068201,0,0,0,-1,-1
warm,shadow,7,55355255,0,0,0,-1,-1
warm,off,7,56764046,0,0,0,-1,-1
warm,on,7,57906008,141,0,0,-1,-1
warm,off,8,57508525,0,0,0,-1,-1
warm,on,8,55209243,141,0,0,-1,-1
warm,shadow,8,54837608,0,0,0,-1,-1
warm,on,9,56581605,141,0,0,-1,-1
warm,shadow,9,54311306,0,0,0,-1,-1
warm,off,9,56833445,0,0,0,-1,-1
warm,shadow,10,56737796,0,0,0,-1,-1
warm,off,10,41531214,0,0,0,-1,-1
warm,on,10,42471230,141,0,0,-1,-1
warm,off,11,41691133,0,0,0,-1,-1
warm,on,11,41229140,141,0,0,-1,-1
warm,shadow,11,39831240,0,0,0,-1,-1
warm,on,12,41929638,141,0,0,-1,-1
warm,shadow,12,39702120,0,0,0,-1,-1
warm,off,12,41299311,0,0,0,-1,-1
cold,shadow,1,160206959,0,0,8915,0,18432
cold,off,1,1149396893,0,0,17837,0,18432
cold,on,1,156124801,141,8922,8915,0,18432
cold,off,2,1146642440,0,0,17837,0,18432
cold,on,2,160444439,141,8915,8922,0,18432
cold,shadow,2,152017644,0,0,8922,0,18432
cold,on,3,159136176,141,8922,8915,0,18432
cold,shadow,3,159553506,0,0,8915,0,18432
cold,off,3,1143653005,0,0,17837,0,18432
cold,shadow,4,153856982,0,0,8922,0,18432
cold,off,4,1144068759,0,0,17837,0,18432
cold,on,4,160462979,141,8915,8922,0,18432
cold,off,5,1142189289,0,0,17837,0,18432
cold,on,5,157885680,141,8922,8915,0,18432
cold,shadow,5,158370325,0,0,8915,0,18432
cold,on,6,162659995,141,8915,8922,0,18432
cold,shadow,6,154093239,0,0,8922,0,18432
cold,off,6,1141607981,0,0,17837,0,18432
cold,shadow,7,159118526,0,0,8915,0,18432
cold,off,7,1139155649,0,0,17837,0,18432
cold,on,7,157691422,141,8922,8915,0,18432
cold,off,8,1139402568,0,0,17837,0,18432
cold,on,8,161558197,141,8915,8922,0,18432
cold,shadow,8,152365101,0,0,8922,0,18432
cold,on,9,157817562,141,8922,8915,0,18432
cold,shadow,9,159836202,0,0,8915,0,18432
cold,off,9,1149937327,0,0,17837,0,18432
cold,shadow,10,152582139,0,0,8922,0,18432
cold,off,10,1156919365,0,0,17837,0,18432
cold,on,10,161205003,141,8915,8922,0,18432
cold,off,11,1141431379,0,0,17837,0,18432
cold,on,11,157928095,141,8922,8915,0,18432
cold,shadow,11,160155567,0,0,8915,0,18432
cold,on,12,160421113,141,8915,8922,0,18432
cold,shadow,12,153945450,0,0,8922,0,18432
cold,off,12,1141898469,0,0,17837,0,18432
